unit_id,m1_int,m1_slope_time,m2_int,m2_slope_time,m3_int,m3_slope_time,Change_Sign,Change_Category,size_category.x,carnegie_category.x,m1_outlier_slope,N_year,institution_name,year,pct_pell,overall_enrollment,pct_race_minority,avg_net_price_w_aid,applicants,admissions_rate,stabbr,locale_rural,hs_grad_state,pct_bachelors_2018_state,carnegie,sector,first_time_enrollment,year_0,log_fyr,log_hs,log_apps,log_price,sy_fyr,x_year,sxl_hs,sx_bach,x_rural,sx_pell,sx_race_minority,sx_price,sxl_apps,sx_admit_rate,carnegie_category.y,size_category.y,m1_fitted_link,m1_fitted_resp,m1_residual,m2_fitted_link,m2_fitted_resp,m2_residual,m3_fitted_link,m3_fitted_resp,m3_residual
211352,6.033244892864908,-0.2251583028411681,6.040515974083525,-0.22466770207687733,6.09783913967417,-0.2041758919006702,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Cabrini University,2022,37,1186,45,21981,3403,0.7851895386423744,PA,City/Suburb,139193,31.8,M,private,282,3,5.641907070938114,11.843616738261684,8.132412674500905,9.997933722828073,-0.7402134975272232,3,0.38943284138121514,-0.3007890406535305,City/Suburb,0.5581475683892061,0.05722910533868596,-0.577807329010264,-0.16725279078612862,0.4832847633062147,M,1k-5k,5.357769984341403,212.25109503240088,4.555821210862686,5.356385542498521,211.95744905003505,4.577012141124409,5.474525484069689,238.53725034598565,2.7345412203444166
211352,6.033244892864908,-0.2251583028411681,6.040515974083525,-0.22466770207687733,6.09783913967417,-0.2041758919006702,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Cabrini University,2021,38,1343,44,21387,3256,0.8003685503685504,PA,City/Suburb,142186,31.8,M,private,302,2,5.71042701737487,11.864891338621211,8.08825472712243,9.970538539785737,-0.6488599017492575,2,0.4133300177096731,-0.3007890406535305,City/Suburb,0.6344719525126296,0.006281427853888951,-0.6531783111503093,-0.20973146338222398,0.5497446934064543,M,1k-5k,5.582928287182572,265.84894915876373,2.169592439532196,5.582982784247221,265.86343754091655,2.1686843686744175,5.671111446054643,290.35707133870034,0.6787840266370812
211352,6.033244892864908,-0.2251583028411681,6.040515974083525,-0.22466770207687733,6.09783913967417,-0.2041758919006702,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Cabrini University,2020,41,1471,45,21875,2700,0.6166666666666667,PA,City/Suburb,143645,31.8,M,private,372,1,5.918893854273146,11.875100256979527,7.90100705199242,9.993099711225815,-0.3709233863041656,1,0.42479741629806794,-0.3007890406535305,City/Suburb,0.8634451048828998,0.05722910533868596,-0.5912573695941777,-0.3898583297434322,-0.2545773909526741,M,1k-5k,5.80808659002374,332.9813858346881,2.0984223290211084,5.8085764032694644,333.14452447852216,2.0893138834995297,5.660129580152412,287.1858537317844,4.784592710920692
211352,6.033244892864908,-0.2251583028411681,6.040515974083525,-0.22466770207687733,6.09783913967417,-0.2041758919006702,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Cabrini University,2019,40,1550,46,22475,3297,0.7582650894752806,PA,City/Suburb,143842,31.8,M,private,365,0,5.8998973535824915,11.876470753946936,8.10076824307173,10.020158859339821,-0.39625029818217905,0,0.42633685803301574,-0.3007890406535305,City/Suburb,0.7871207207594764,0.10817678282348296,-0.5151250644022127,-0.19769382172102154,0.36539849759191156,M,1k-5k,6.033244892864908,417.0661710841459,-2.605501581678214,6.033368405132192,417.11768705390557,-2.6079697997733238,6.053271513668505,425.502793695406,-3.0070667648095806
240392,4.903983710146493,0.24137025279083382,5.0237159705481576,0.24152816659235507,6.0373245621248515,0.13884423177780042,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Herzing University-Madison,2023,67,2181,63,20679,513,0.9415204678362572,WI,City/Suburb,67563,30,M,private,330,4,5.799092654460526,11.120815774909222,6.240275845170769,9.936873971553762,-0.5306472470269558,4,-0.42246969872350204,-0.6181457040425793,City/Suburb,2.847879092091909,0.974287300065032,-0.7430144312768281,-1.9874338827928872,1.1677655986964388,M,1k-5k,5.8694647213098285,354.0594090788483,-1.2935432103941986,5.870284283965843,354.3497018888642,-1.308788869229652,5.81572966187826,335.5361371300669,-0.30306660064972346
240392,4.903983710146493,0.24137025279083382,5.0237159705481576,0.24152816659235507,6.0373245621248515,0.13884423177780042,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Herzing University-Madison,2022,62,1803,60,22720,435,0.9448275862068966,WI,City/Suburb,65909,30,M,private,283,3,5.645446897643238,11.096030281727145,6.075346031088684,10.031000872835088,-0.7354940557477055,3,-0.45031056487141125,-0.6181457040425793,City/Suburb,2.466257171474792,0.821444267610641,-0.48403770644882704,-2.1460916101025345,1.1822455173967374,M,1k-5k,5.628094468518994,278.1316237922044,0.2910712433933313,5.626508150710316,277.6907684050495,0.3175965587546579,5.606260253051762,272.124655353103,0.6549439250664286
240392,4.903983710146493,0.24137025279083382,5.0237159705481576,0.24152816659235507,6.0373245621248515,0.13884423177780042,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Herzing University-Madison,2021,74,1664,52,25595,435,0.942528735632184,WI,City/Suburb,66830,30,M,private,283,2,5.645446897643238,11.109907360505115,6.075346031088684,10.150152298891683,-0.7354940557477055,2,-0.4347228220759262,-0.6181457040425793,City/Suburb,3.3821497809558734,0.41386284773226495,-0.11923707740399464,-2.1460916101025345,1.1721802080562866,M,1k-5k,5.386724215728161,218.486497377792,4.172533129828628,5.386238591733549,218.38042085090467,4.180041010168823,5.477209985432802,239.178464204353,2.7530021285521022
240392,4.903983710146493,0.24137025279083382,5.0237159705481576,0.24152816659235507,6.0373245621248515,0.13884423177780042,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Herzing University-Madison,2020,81,1647,49,23504,445,0.9191011235955056,WI,City/Suburb,68053,30,M,private,181,1,5.198497031265826,11.128042092339335,6.09807428216624,10.064925898413659,-1.3313859025655448,1,-0.4143525741282334,-0.6181457040425793,City/Suburb,3.9164204698198373,0.261019815277874,-0.3845581609979927,-2.1242276876713033,1.0696045274743842,M,1k-5k,5.145353962937327,171.63222536708136,0.7086899668255319,5.146355188564275,171.80415400484551,0.6954531383582451,5.33783550902129,208.06187449974325,-1.9191717098812244
240392,4.903983710146493,0.24137025279083382,5.0237159705481576,0.24152816659235507,6.0373245621248515,0.13884423177780042,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Herzing University-Madison,2019,73,1506,48,23908,127,0.905511811023622,WI,City/Suburb,68191,30,M,private,78,0,4.356708826689592,11.130067870314047,4.844187086458591,10.081968409944144,-2.45369237492241,0,-0.41207707317188674,-0.6181457040425793,City/Suburb,3.3058253968324496,0.21007213779307696,-0.3332957421687363,-3.33043102865507,1.0101049513537448,M,1k-5k,4.903983710146493,134.82581824505368,-5.317589178455849,4.90501075369437,134.9643613644998,-5.328566609910606,4.622931727915495,101.79202161540745,-2.460339537456962
385619,6.491884851843629,-0.1981178239595891,6.496601848570712,-0.19848050562240838,6.871331037501752,-0.10499404208855644,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Everglades University,2023,51,2369,54,26561,804,0.8644278606965174,FL,City/Suburb,214692,30.4,M,private,388,4,5.961005339623274,12.276959721877823,6.6895992691789665,10.187199253484014,-0.3147786312314789,4,0.8761951548992383,-0.5476220010672355,City/Suburb,1.626688946117134,0.515758202701859,0.003335933955069049,-1.5551976999239159,0.8302225903517776,M,1k-5k,5.699413556005272,298.6921833572223,4.937569321236294,5.697741053593964,298.19303748800695,4.967812489895146,5.828624600219526,339.8908716041621,2.5513127965092854
385619,6.491884851843629,-0.1981178239595891,6.496601848570712,-0.19848050562240838,6.871331037501752,-0.10499404208855644,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Everglades University,2022,31,2246,55,28778,779,0.7034659820282413,FL,City/Suburb,217330,30.4,M,private,280,3,5.634789603169249,12.289172214699748,6.658011045870748,10.267366485323363,-0.7497027967361725,3,0.8899131138476366,-0.5476220010672355,City/Suburb,0.1002012636486655,0.566705880186656,0.28464480163937983,-1.5855846602665573,0.12546556149665403,M,1k-5k,5.897531379964861,364.13744042853165,-4.597769660555085,5.897329194095219,364.0638244257779,-4.594069865926392,5.797834402343448,329.58503791956974,-2.8044586467958887
385619,6.491884851843629,-0.1981178239595891,6.496601848570712,-0.19848050562240838,6.871331037501752,-0.10499404208855644,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Everglades University,2021,44,2212,54,29341,854,0.6042154566744731,FL,City/Suburb,223891,30.4,M,private,258,2,5.552959584921617,12.318914605262643,6.74993119378857,10.286741134279072,-0.8588019247747153,2,0.923321927160224,-0.5476220010672355,City/Suburb,1.0924182572531702,0.515758202701859,0.356082281344507,-1.4971601274204225,-0.3090938878546146,M,1k-5k,6.0956492039244505,443.92214764878383,-9.582090163012753,6.098507241460181,445.1927086002832,-9.637573679441704,5.878417961721809,357.24362132669796,-5.5272705944704095
385619,6.491884851843629,-0.1981178239595891,6.496601848570712,-0.19848050562240838,6.871331037501752,-0.10499404208855644,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Everglades University,2020,48,1877,55,30154,1999,0.7518759379689844,FL,City/Suburb,215797,30.4,M,private,762,1,6.635946555686647,12.28209342994865,7.6004023345004,10.314072863338863,0.5850806102384898,1,0.8819617086729478,-0.5476220010672355,City/Suburb,1.3977157937468638,0.566705880186656,0.4592415548796196,-0.6790314035219894,0.3374241755366735,M,1k-5k,6.29376702788404,541.188164944512,8.936326441004503,6.293648181716809,541.1238506271883,8.939263011255958,6.471333456948245,646.3450258506307,4.422715701758907
385619,6.491884851843629,-0.1981178239595891,6.496601848570712,-0.19848050562240838,6.871331037501752,-0.10499404208855644,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Everglades University,2019,55,1757,55,29365,1500,0.7493333333333333,FL,City/Suburb,213187,30.4,M,private,620,0,6.429719478039138,12.269924993804983,7.313220387090301,10.28755876795662,0.310130233456297,0,0.8682932373854679,-0.5476220010672355,City/Suburb,1.931986482610828,0.566705880186656,0.3591275735521856,-0.9552921593715531,0.32629161108476556,M,1k-5k,6.491884851843629,659.7657526826725,-1.5641105612376383,6.491025048263208,659.1987275263383,-1.5422541861926256,6.447264233235713,630.9737324549831,-0.43814206167879555
445267,2.4995339368762,0.6380763289585817,2.8897591374703127,0.6377616626794944,5.373874941059388,0.2364318098167406,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,4,Central Methodist University-College of Graduate and Extended Studies,2023,27,3247,17,14774,280,0.8714285714285714,MO,Town/Rural,67773,29.5,M,private,218,4,5.384495062789089,11.123919164525333,5.634789603169249,9.600624158088683,-1.0834057176575373,4,-0.41898374610306166,-0.7063003327617595,Town/Rural,-0.20509627284502824,-1.3693058642356302,-1.4922832015410838,-2.569894195428715,0.8608745691694736,M,1k-5k,5.0518392527105265,156.30969328931076,4.653742555500341,5.051019248644244,156.18157124269294,4.664611179137907,5.148819405678014,172.22803879893905,3.348232981485404
445267,2.4995339368762,0.6380763289585817,2.8897591374703127,0.6377616626794944,5.373874941059388,0.2364318098167406,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,4,Central Methodist University-College of Graduate and Extended Studies,2021,25,2886,16,18452,15,1,MO,Town/Rural,66906,29.5,M,private,4,2,1.3862943611198906,11.111043928193418,2.70805020110221,9.822928044677711,-6.413970461700265,2,-0.433446146697889,-0.7063003327617595,Town/Rural,-0.3577450410918751,-1.4202535417204272,-1.0255921707143383,-5.385333141648874,1.4238129415675669,M,1k-5k,3.7756865947933638,43.62745241649221,-7.754983363205664,3.774328179644166,43.56822845867661,-7.748044035055494,3.4475544051326277,31.423449235139678,-6.193288150746537
